Utterance	Intents
hello	l_VAPOCen_Email, l_VAPOCen_General
goodbye	l_VAPOCen_Email, l_VAPOCen_General
never mind	l_VAPOCen_Email, l_VAPOCen_General
start over	l_VAPOCen_Email, l_VAPOCen_General
move back	l_VAPOCen_Email, l_VAPOCen_General
forget me	l_VAPOCen_Email, l_VAPOCen_General
i'm stuck	l_VAPOCen_Email, l_VAPOCen_General
please stop	l_VAPOCen_Email, l_VAPOCen_General
previous	l_VAPOCen_Calendar, l_VAPOCen_General
contact support	l_VAPOCen_Email, l_VAPOCen_General
sign out	l_VAPOCen_Email, l_VAPOCen_General
next page	l_VAPOCen_Calendar, l_VAPOCen_Email
undo	l_VAPOCen_Email, l_VAPOCen_General
good evening	l_VAPOCen_Email, l_VAPOCen_General
what can i say	l_VAPOCen_Email, l_VAPOCen_General
can i talk to a person	l_VAPOCen_Email, l_VAPOCen_General
last	l_VAPOCen_Email, l_VAPOCen_General
next	l_VAPOCen_Calendar, l_VAPOCen_General, l_VAPOCen_ToDo
go back	l_VAPOCen_Calendar, l_VAPOCen_Email, l_VAPOCen_General
help please	l_VAPOCen_Email, l_VAPOCen_General
hello bot	l_VAPOCen_Email, l_VAPOCen_General
why doesn't this work	l_VAPOCen_Email, l_VAPOCen_General
cancel	l_VAPOCen_General, l_VAPOCen_ToDo
what can you help me with	l_VAPOCen_Email, l_VAPOCen_General
don't do it	l_VAPOCen_Email, l_VAPOCen_General
how are you	l_VAPOCen_Email, l_VAPOCen_General
stop	l_VAPOCen_Email, l_VAPOCen_General
transfer me please	l_VAPOCen_Email, l_VAPOCen_General
what do i do now	l_VAPOCen_Email, l_VAPOCen_General
hey	l_VAPOCen_Email, l_VAPOCen_General
don't	l_VAPOCen_Email, l_VAPOCen_General
hiya	l_VAPOCen_Email, l_VAPOCen_General
what can you do	l_VAPOCen_Email, l_VAPOCen_General
disregard	l_VAPOCen_Email, l_VAPOCen_General
help me	l_VAPOCen_Email, l_VAPOCen_General
bye	l_VAPOCen_Email, l_VAPOCen_General
